Model,MAE,RMSE,R²
Linear Regression,0.7310184220548591,1.3793849923325834,0.8494739375114233
Ridge,0.7323992317473413,1.3790773000858914,0.8495410841556287
Random Forest,0.3971299093655588,0.7458742513262814,0.9559879155023142
Gradient Boosting,0.4086062461549247,0.6884030624371544,0.9625090629304954
