Model,Accuracy,Precision,Recall,F1,ROC-AUC
Logistic Regression,0.9939577039274924,0.9966887417218544,0.9966887417218544,0.9966887417218544,0.9994290934003196
Random Forest,0.9788519637462236,0.9966329966329966,0.9801324503311258,0.988313856427379,0.9992007307604476
Gradient Boosting,0.9909365558912386,0.9966777408637874,0.9933774834437086,0.9950248756218906,0.9957752911623658
Extra Trees,0.9788519637462236,0.9933110367892976,0.9834437086092715,0.9883527454242927,0.9898949531856588
Logistic Regression,0.9939577039274924,0.9966887417218544,0.9966887417218544,0.9966887417218544,0.9994290934003196
Random Forest,0.9788519637462236,0.9966329966329966,0.9801324503311258,0.988313856427379,0.9992007307604476
Gradient Boosting,0.9909365558912386,0.9966777408637874,0.9933774834437086,0.9950248756218906,0.9957752911623658
Extra Trees,0.9788519637462236,0.9933110367892976,0.9834437086092715,0.9883527454242927,0.9898949531856588
